                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2383,                0.70907,                 1.1428,                0.88999,                0.79545,                0.83709,                0.54249,                 1.1632,                 0.7869,                  1.197,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.2767,                 0.7263,                 1.1745,                0.90095,                   0.75,                0.83151,                0.51742,                 1.2795,                 0.8218,                 1.2492,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.2693,                0.72538,                 1.1924,                0.87184,                 0.8246,                0.85216,                0.53496,                 1.2138,                0.80018,                 1.2299,               0.001307,               0.001307,               0.001307
                     72,                 1.2494,                0.75441,                 1.1718,                0.92788,                0.77273,                 0.8621,                0.53941,                 1.2193,                0.81491,                 1.2029,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.2696,                0.71851,                  1.171,                0.89572,                0.78087,                0.85035,                 0.5337,                  1.251,                0.85195,                 1.2126,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2374,                0.70451,                 1.1422,                0.90661,                  0.809,                0.85931,                0.54637,                 1.1759,                0.84716,                 1.1774,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.2573,                0.72124,                  1.144,                0.86058,                0.81818,                0.86983,                0.57723,                 1.1248,                0.76043,                 1.1693,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2249,                0.68196,                 1.1448,                0.86109,                0.79834,                0.84849,                0.57518,                 1.1273,                0.77622,                 1.1471,              0.0012575,              0.0012575,              0.0012575
                     77,                  1.229,                 0.7145,                 1.1454,                0.86089,                0.84091,                0.86735,                0.57266,                 1.1171,                0.74337,                 1.1549,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.2346,                0.70649,                 1.1576,                0.90008,                0.81893,                0.86417,                0.55883,                 1.1673,                0.72301,                 1.1907,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.2492,                0.69262,                 1.1557,                 0.8439,                 0.8191,                0.85393,                0.56401,                 1.1429,                   0.73,                  1.174,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.2395,                0.70668,                 1.1652,                0.90044,                0.80303,                0.84618,                0.53976,                 1.2775,                0.79612,                 1.2836,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.2138,                0.70182,                  1.148,                0.90989,                0.79545,                0.86978,                0.56852,                   1.17,                0.77231,                 1.1972,               0.001208,               0.001208,               0.001208
                     82,                 1.1967,                0.67071,                 1.1257,                0.91845,                0.76794,                0.86736,                0.56832,                 1.1752,                0.73627,                 1.1999,              0.0011981,              0.0011981,              0.0011981
