                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3449,                0.82694,                 1.1179,                0.92605,                   0.75,                0.83296,                0.52753,                 1.1827,                0.86477,                 1.1346,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2799,                0.76326,                   1.13,                  0.914,                0.78788,                0.87833,                0.56949,                 1.0968,                0.79665,                   1.09,               0.001109,               0.001109,               0.001109
                     47,                 1.3186,                0.79095,                 1.1224,                0.91671,                0.82576,                0.87942,                0.55514,                 1.1119,                0.78821,                 1.1052,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2935,                0.77486,                 1.1078,                0.87756,                0.79545,                0.84094,                0.54298,                 1.1052,                0.84651,                 1.0967,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2606,                0.75294,                 1.1076,                0.90396,                0.82576,                0.86248,                0.54609,                 1.0919,                0.81443,                 1.1341,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2983,                0.73671,                 1.1121,                0.95719,                0.84688,                 0.8765,                0.55445,                 1.1299,                0.78714,                 1.1234,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2829,                0.77012,                 1.1201,                0.92986,                0.84848,                0.87923,                0.58951,                 1.0627,                0.74876,                 1.0628,                0.00101,                0.00101,                0.00101
                     52,                 1.2569,                0.75545,                 1.0812,                0.91742,                0.84163,                0.87115,                0.56516,                 1.0734,                0.73737,                 1.0828,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2467,                0.71807,                 1.0716,                0.90113,                0.81818,                0.87006,                0.56439,                 1.0864,                0.75645,                 1.0841,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2533,                0.73667,                 1.1105,                 0.9312,                0.82037,                0.87331,                 0.5554,                 1.0903,                0.75497,                 1.0828,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2671,                0.74256,                 1.0993,                0.89504,                0.81061,                 0.8585,                0.55378,                 1.1139,                0.76035,                 1.1409,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2192,                0.71702,                 1.0955,                0.91756,                0.84323,                0.88993,                0.56202,                 1.1159,                0.75274,                 1.1182,               0.000911,               0.000911,               0.000911
                     57,                 1.2126,                0.72076,                 1.0679,                 0.9083,                0.83333,                0.88572,                0.56112,                 1.1455,                0.74792,                 1.1446,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2114,                0.68446,                 1.0874,                0.93111,                0.81915,                0.88181,                0.59626,                 1.0364,                0.70601,                 1.0852,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1897,                0.70323,                 1.0521,                0.85735,                0.81061,                0.84496,                0.54594,                 1.2499,                0.81231,                 1.1863,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2335,                0.70886,                  1.091,                0.88057,                0.78788,                0.81769,                0.48887,                 1.2576,                0.79467,                 1.1916,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2006,                0.68206,                  1.075,                0.88934,                0.85237,                 0.8713,                0.56339,                 1.1027,                0.73034,                 1.1055,               0.000812,               0.000812,               0.000812
                     62,                 1.1796,                 0.6741,                  1.073,                0.89533,                0.84239,                0.87481,                0.57266,                 1.1386,                0.70206,                 1.0996,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1581,                0.68514,                 1.0533,                0.91275,                0.81818,                0.87596,                0.56236,                 1.1946,                0.71015,                 1.1272,              0.0007724,              0.0007724,              0.0007724
                     64,                   1.19,                0.68764,                 1.0684,                0.88462,                 0.8132,                0.86289,                0.55126,                 1.2161,                0.79165,                 1.1394,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1807,                0.68282,                 1.0875,                0.92332,                0.82106,                0.86786,                0.54285,                  1.163,                0.77249,                 1.0891,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2098,                0.67863,                 1.0705,                0.90217,                0.83833,                0.88446,                 0.5914,                 1.1197,                0.74834,                 1.0882,               0.000713,               0.000713,               0.000713
                     67,                 1.1371,                0.66744,                 1.0418,                0.92188,                0.82576,                0.86404,                0.58149,                 1.1834,                0.79058,                 1.1464,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1919,                 0.6737,                 1.0522,                0.91163,                0.84848,                0.89323,                0.56971,                 1.1555,                0.78684,                  1.115,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1379,                0.63925,                 1.0471,                0.89657,                0.85373,                0.86932,                0.55743,                 1.1594,                0.73528,                 1.1162,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1724,                0.65581,                 1.0572,                0.90923,                0.82576,                0.89242,                0.56831,                 1.2293,                0.77387,                 1.1648,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1423,                0.63751,                 1.0505,                0.91015,                0.86364,                0.88767,                0.58998,                  1.189,                0.74626,                 1.1322,               0.000614,               0.000614,               0.000614
                     72,                 1.1173,                0.64196,                 1.0267,                0.91476,                0.81301,                0.86486,                0.58623,                 1.1051,                0.71013,                 1.1059,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1112,                0.63688,                 1.0394,                 0.9238,                0.82663,                0.86802,                0.55247,                 1.2213,                0.74778,                 1.1396,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0839,                0.62129,                  1.029,                 0.9076,                0.81859,                 0.8637,                0.56883,                  1.196,                0.72614,                 1.1238,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.109,                0.63422,                 1.0216,                0.94014,                0.83284,                0.86433,                0.58024,                 1.1183,                0.68133,                  1.129,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0804,                0.61191,                 1.0076,                0.90811,                0.83333,                0.87147,                0.58559,                 1.0951,                0.74937,                 1.1137,               0.000515,               0.000515,               0.000515
                     77,                 1.1311,                 0.6239,                 1.0449,                0.89703,                0.84091,                0.86968,                0.56789,                 1.1659,                0.73099,                 1.1256,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0792,                0.61225,                 1.0272,                0.92487,                0.83935,                0.88283,                0.56621,                 1.1364,                0.71613,                 1.1289,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0938,                0.60538,                 1.0192,                0.92566,                0.81061,                0.86905,                0.57498,                 1.1298,                0.75025,                 1.1053,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0672,                0.60443,                 1.0045,                0.88673,                0.85606,                0.87192,                0.57413,                 1.1332,                0.69918,                 1.0946,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0571,                0.58946,                 1.0151,                0.88859,                0.84597,                0.86543,                0.57397,                 1.0743,                0.70056,                 1.0763,               0.000416,               0.000416,               0.000416
                     82,                 1.0514,                0.60855,                0.99658,                0.94034,                0.83589,                0.89397,                0.58749,                 1.0641,                 0.6697,                 1.0726,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0066,                0.56587,                0.99276,                0.90718,                0.86364,                0.90265,                0.58807,                 1.0935,                0.64787,                 1.0891,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.037,                0.58493,                0.99598,                0.92328,                0.84091,                0.89301,                0.57678,                 1.1321,                0.68512,                  1.101,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0027,                0.57099,                0.99245,                0.93669,                0.82576,                0.89953,                0.58916,                 1.1075,                0.69321,                 1.0817,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0241,                0.56517,                0.99656,                0.93298,                0.84369,                0.90243,                0.58091,                 1.1223,                0.70112,                 1.0917,               0.000317,               0.000317,               0.000317
                     87,                 1.0211,                0.56564,                0.98773,                0.92994,                0.85606,                 0.9067,                0.56991,                 1.1625,                0.68582,                 1.1024,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0147,                 0.5557,                0.99708,                0.92706,                0.86666,                 0.9101,                0.58608,                 1.1758,                0.65925,                 1.1123,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0284,                0.56712,                 1.0034,                0.98136,                0.83333,                0.90978,                0.58613,                 1.1182,                0.68404,                 1.0851,              0.0002576,              0.0002576,              0.0002576
                     90,                0.99479,                0.55849,                0.98944,                0.95897,                0.84091,                0.90816,                0.59102,                 1.1429,                0.69119,                 1.0944,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0183,                0.56496,                0.97334,                 0.9764,                0.83333,                0.91193,                0.60722,                 1.0687,                0.64723,                 1.0814,               0.000218,               0.000218,               0.000218
                     92,                0.97351,                0.55495,                0.98411,                0.97705,                0.84091,                0.90843,                0.57808,                 1.1905,                0.68963,                 1.1257,              0.0001982,              0.0001982,              0.0001982
                     93,                0.95186,                0.53637,                0.96884,                 0.9345,                0.86473,                 0.9111,                0.59647,                 1.1383,                0.68013,                 1.1054,              0.0001784,              0.0001784,              0.0001784
                     94,                0.98311,                0.55181,                0.98324,                 0.9507,                0.84091,                0.90786,                0.58943,                 1.1608,                0.67223,                 1.1084,              0.0001586,              0.0001586,              0.0001586
                     95,                0.96385,                0.53529,                0.97054,                0.95605,                0.82408,                0.88496,                0.59856,                 1.1082,                0.65597,                 1.0887,              0.0001388,              0.0001388,              0.0001388
                     96,                0.98087,                0.54276,                0.97977,                0.92771,                0.85606,                0.90469,                 0.5773,                 1.1411,                0.67237,                 1.0917,               0.000119,               0.000119,               0.000119
                     97,                0.97922,                0.52767,                0.97648,                0.92521,                0.85606,                0.88674,                0.57852,                 1.1725,                0.68398,                 1.1057,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.98431,                0.54016,                0.97615,                0.92639,                0.85808,                0.89716,                0.58809,                 1.1429,                0.66883,                 1.0985,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.96605,                 0.5387,                0.97578,                0.92706,                0.86658,                0.89776,                0.58061,                 1.1723,                0.66722,                 1.1069,               5.96e-05,               5.96e-05,               5.96e-05
